## T2R Prompts
## Format: filename | sensor | prompt
## Images: WebP, quality 80%

001-there-is-a-man-and | Canon EOS-1Ds III | There is a man and a woman standing near the table, possibly playing or observing the game. Additionally, there is a swing set in the background, which adds to the overall playful atmosphere of the park. The...
002-the-sheep-are-spread-out | Canon EOS 600D | The sheep are spread out across the hillside, with some of them closer to the water's edge. There is also a building visible in the background...
003-some-of-the-people-are | Fujifilm X-M1 | Some of the people are dressed up as clowns, while others are wearing more traditional clothing. The group is standing on a street or plaza, likely in a festive...
004-the-water-is-calm-and | Nikon D40 | The water is calm and reflects the surrounding trees and sky. There is a rock in the middle of the lake, adding to the natural beauty of the scene.
005-the-building-is-situated-on | Nikon D5200 | The building is situated on a hillside, and there is a staircase leading up to it. The exterior of the building is adorned with various decorative elements, such as a...
006-the-bridge-connects-two-buildings | Olympus E-PL6 | The bridge connects two buildings, one of which appears to be a castle-like structure. There are several lampposts along the bridge, providing illumination for the area...
007-the-sky-is-partly-cloudy | Panasonic GX1 | The sky is partly cloudy, with a few white clouds visible in the blue sky. There is a lone sheep standing on the grassy slope, adding to the serene and...
008-the-building-is-adorned-with | Samsung NX2000 | The building is adorned with intricate architectural details, such as arches and decorative designs. There are several windows visible in the building, providing natural light to illuminate the interior space. The...
009-the-sun-is-shining-brightly | Sony A57 | The sun is shining brightly in the sky, casting a warm and inviting glow over the landscape. There are also some rocks and boulders scattered around the area, adding to the rugged terrain.
010-the-landscape-is-characterized-by | Canon EOS-1Ds III | The landscape is characterized by the vast expanse of the field and the presence of the distant mountains. The sky appears to be partly cloudy, adding to the natural beauty of the scene...
011-the-statue-is-located-near | Canon EOS 600D | The statue is located near a group of people who are walking around the park, enjoying the sunny day. There are several green chairs placed around the area, providing seating...
012-there-are-also-some-people | Fujifilm X-M1 | There are also some people sitting on benches nearby, enjoying the scenery. The area is illuminated by streetlights,...
013-they-appear-to-be-attending | Nikon D40 | They appear to be attending an outdoor event, possibly a festival or a reenactment of a historical event. There are several people in the group, with...
014-the-building-s-windows-are | Nikon D5200 | The building's windows are partially covered by the snow, adding to the visual interest of the scene. The lighting in the image is bright and contrasting, highlighting the snowflakes...
015-there-are-no-other-animals | Olympus E-PL6 | There are no other animals or people visible in the scene. The setting is peaceful and idyllic, with the sheep seemingly enjoying the serene environment.
016-the-hallway-is-adorned-with | Panasonic GX1 | The hallway is adorned with intricate paintings and decorations, adding to the grandeur of the space. The people are walking towards the end of the hallway, creating a sense of...
017-the-lake-is-located-in | Samsung NX2000 | The lake is located in the Dolomites region of Italy, which is known for its stunning landscapes and natural beauty. The mountainous backdrop provides a picturesque setting for the lake, making it an ideal spot for...
018-these-tents-are-likely-used | Sony A57 | These tents are likely used for outdoor events, such as markets or fairs, as they provide a covered area for vendors to showcase their products or services. The tents...
019-there-are-several-people-walking | Canon EOS-1Ds III | There are several people walking around the field, enjoying the sunny day and the green surroundings. The sky is partly cloudy, adding to the overall serene atmosphere of the scene.
020-the-bird-is-sitting-on | Canon EOS 600D | The bird is sitting on the ball-shaped structure at the top of the water feature. There are also lights hanging from the ceiling of the building, adding to the...
021-the-carousel-appears-to-be | Fujifilm X-M1 | The carousel appears to be well-lit, providing a bright and cheerful environment for the riders.
022-the-bus-is-advertising-la | Nikon D40 | The bus is advertising "La Bira del Rugby" on its exterior, indicating that it's related to the sport of rugby. It appears to be a tourist att...
023-the-mural-is-adorned-with | Nikon D5200 | The mural is adorned with various coats of arms and other decorative elements, adding to the grandeur of the space. The room is well-lit...
024-there-is-also-a-house | Olympus E-PL6 | There is also a house visible in the distance, situated on the hillside. The landscape is characterized by rolling hills and a rural setting, providing a serene and peaceful atmosphere...
025-the-bench-is-situated-near | Panasonic GX1 | The bench is situated near the water's edge, providing a scenic view of the lake and the surrounding landscape. A bridge can also be seen in the background, adding to the tranquil atmosphere of the...
026-the-lamp-illuminates-the-area | Samsung NX2000 | The lamp illuminates the area, providing a warm and inviting atmosphere for visitors. The buildings in the area are adorned with green shutters,...
027-the-building-has-a-stone | Sony A57 | The building has a stone facade and appears to be quite old, possibly dating back to the 1800s or earlier. The people in the scene are dressed casually...
028-the-valley-is-filled-with | Canon EOS-1Ds III | The valley is filled with various types of vegetation, such as grass, bushes, and trees, creating a vibrant and colorful landscape. The sky is partly cloudy, adding to the...
029-the-sunlight-creates-a-warm | Canon EOS 600D | The sunlight creates a warm and inviting atmosphere, adding to the serene and peaceful nature of the scene.
030-there-are-several-trees-in | Fujifilm X-M1 | There are several trees in the background, and the overall atmosphere is peaceful and serene. The lighting in the scene appears to be natural, with the sun shining down on the...
031-the-landscape-is-covered-in | Nikon D40 | The landscape is covered in grass and dotted with trees, giving it a serene and peaceful atmosphere. The sky appears to be cloudy, adding to the overall mood of...
032-he-is-positioned-near-the | Nikon D5200 | He is positioned near the front of the boat and appears to be overseeing the vessel's operations. The boat is surrounded by water, and there is...
033-the-statues-are-arranged-in | Olympus E-PL6 | The statues are arranged in a symmetrical manner, showcasing their beauty and craftsmanship. The hallway also features a window, allowing natural light to illuminate the...
034-the-water-is-partially-obscured | Panasonic GX1 | The water is partially obscured by the surrounding vegetation, adding to the natural and organic feel of the scene. The lighting in the image is soft and diffused...
035-the-carousel-is-surrounded-by | Samsung NX2000 | The carousel is surrounded by trees, and there is a mountain visible in the background. The people appear to be enjoying the carousel and taking in the scenery around them.
036-the-cathedral-has-a-large | Sony A57 | The cathedral has a large main entrance with a door, and there is a clock on the side of the building. The building's architecture is quite impressive, making it a...
037-the-structure-is-made-up | Canon EOS-1Ds III | The structure is made up of several arches and pillars, and it appears to be in a state of disrepair, with some of the arches...
038-there-are-several-people-walking | Canon EOS 600D | There are several people walking around the market, admiring the various paintings and other artwork on display. The lighting appears to be cloudy and overcast, adding to the atmosphere of...
039-there-are-several-people-sitting | Fujifilm X-M1 | There are several people sitting in the audience, some of them wearing backpacks. The room is well-lit, with multiple lights illuminating the space.
040-they-are-carrying-various-items | Nikon D40 | They are carrying various items, such as bags, suitcases, and umbrellas, as they navigate through the crowded street. There is a man standing in the middle of...
041-the-event-features-a-stage | Nikon D5200 | The event features a stage with a large screen displaying a projected image of a person, possibly a performer or a speaker. There are several people standing near...
042-there-is-a-crane-visible | Olympus E-PL6 | There is a crane visible in the background, likely involved in construction or maintenance work. The scene is illuminated by sunlight, casting a bright and...
043-the-sun-is-shining-brightly | Samsung NX2000 | The sun is shining brightly, illuminating the snowy landscape and providing a clear view of the person skiing.
044-people-are-walking-around-the | Sony A57 | People are walking around the building, and there are several cars parked on the street. The building's architecture is quite impressive, and it appears to be an important landmark in the city...
045-the-building-has-a-rustic | Canon EOS-1Ds III | The building has a rustic appearance and is situated in a mountainous area, possibly in the Swiss Alps. The sun is shining down on the building, casting a warm and inviting light on the exterior...
046-there-is-a-statue-in | Canon EOS 600D | There is a statue in the center of the garden, which is surrounded by greenery and shrubs. The area is well-maintained and has a serene atmosphere, making it an ideal spot for relaxation...
047-the-horse-is-standing-on | Fujifilm X-M1 | The horse is standing on its hind legs, with its front legs stretched out in front of it. The sculpture is lit by a spotlight, which highlights the intricate details of the horse...
048-the-children-appear-to-be | Nikon D40 | The children appear to be participating in a parade or festival, as they are wearing festive clothing and holding balloons. The crowd is watching the...
049-the-valley-is-filled-with | Nikon D5200 | The valley is filled with trees, including pine trees, and there are houses visible in the distance. The overall atmosphere is peaceful and serene, with a cloudy sky adding to the tranqu...
050-the-sun-is-shining-brightly | Olympus E-PL6 | The sun is shining brightly in the background, casting a warm and inviting light on the scene. The person appears to be enjoying the peaceful and scenic surround...
051-the-trees-are-in-full | Panasonic GX1 | The trees are in full bloom, creating a picturesque setting for the photograph. There is a fence running along the side of the street, providing a boundary between the trees and the...
052-the-house-has-multiple-windows | Samsung NX2000 | The house has multiple windows and a balcony, giving it a spacious and inviting appearance. The snowy surroundings add to the serene and peaceful atmosphere of the scene...
053-they-appear-to-be-enjoying | Sony A57 | They appear to be enjoying the scenic view of the mountains in the distance. The sky is partly cloudy, with some fluffy white clouds visible in the background.
054-the-building-is-decorated-with | Canon EOS-1Ds III | The building is decorated with intricate carvings on its walls, giving it a unique and impressive appearance. The woman is wearing a pink jacket and appears to...
055-the-buildings-are-situated-on | Canon EOS 600D | The buildings are situated on a hillside, and the church tower stands out against the cloudy sky. There are also several trees visible in the scene, adding to the overall atmosphere of the setting.
056-they-appear-to-be-waiting | Fujifilm X-M1 | They appear to be waiting for something, possibly an event or a tour. There are several rows of chairs lined up in the courtyard, providing seating for the people.
057-the-town-is-surrounded-by | Nikon D40 | The town is surrounded by trees, and there is a pathway leading through the grassy area. A lamp post is visible in the foreground, providing lighting for the pathway.
